courant,modern art,Modern Art,Modern art,modern Art,moden art,modren art,moderne art
courant,baroque,Baroque,Baroc,baroc,barok,broc,brok
courant,impressionism,Impressionisme,Impressionism,impressionisme
courant,renaissance,renaissansse,Renaissance
courant,romanticism,romantism,Romantism
courant,cubism,cubisme,Cubism
courant,expressionism,Empressionisme,Empressionism,empressionisme
courant,classissism,Classissism,classic,Classic
courant,rococo,Rococo,rocococo,rokoko,roqoqo
courant,futurism,Futurism,futurisme
this_courant,this mouvement,this mouvement
this_courant,that mouvement,that mouvement
this_courant,the mouvement,the mouvement
this_courant,last mouvement,last mouvement
this_courant,it,it
artist,Leonard da Vinci, da Vinci, Vinci, de Vinci, Leornardo de Vinci, Leonard de Vinci, de vinci, da vinci
artist,Pablo Picasso,Picasso,picasso,
artist,Michelangelo,Michel-Ange,michel-ange,Michel-ange
artist,Raphael,Rafael,rafael,raphael
artist,Glorglo Vasarl,vasarl,Vasarle
artist,Carlo Crivelli,Crivelli,crivelli,crivelll
artist,Titan,titan,titen
artist,Vincent Van Gogh,Vangogh,Van Gogh, Van ghog
artist,Paul Cézanne,Cézanne,cézanne,cézane,Cézane
artist,Paul Gauguin,Gauguin,Gaugin,gauguin,gogin,goguin
artist,Rembrandt,rembrand,rembrant,rembrandt
artist,Claude Monnet,Monet,monnet,monet,Money,money
artist,Armand Guillaumin,guillaumain,guillaumin
artist,Francisco Goya,goya,Goilla
artist,Eugène Delacroix,delacroix,delacroi
artist,Auguste Renoir,renoi,renoir
artist,Edouard Manet,manet,mannet,Mannet
artist,Gustave Klimt,Klimpt,klimt,klint
artist,Johannes Vermeer,vermer,Vermer,vermeer
artist,Sandro Boticelli,boticeli,boticceli,boticelli,botticcelli
artist,Pierre Paul Rubens,rubence,rubense,rubens,ruben
artist,Vassily Kandinsky,candinsky,kandinsky,kandisky
artist,Andy Warhol,warol,wharol,warhol
artist,Salvador Dali,dali
artist,Edvard Munch,munche,munch
artist,Edgar Degas,degas,degasse
artist,Gustave Courbet,courbe,courbert,courbet
artist,Georges Braque,brac,braque,brak
artist,Joseph Mallord William Turner,turner,william turner,mallord william turner
artist,Paul Klee,klee,kle
artist,Jean-François Millet,millet,milet
artist,Marc Chagall,chagal,chagall,chagale
artist,Amedeo Modigliani,modigliany,modigliani
artist,Jean-Baptiste Camille Corot,coreaux,corot,coro,corau
artist,Fernand Léger,leger
artist,Joan Miro,miro
artist,René Magritte,magrite,magritte
artist,Berthe Morisot,moriso,morisot,morisau
artist,Le Caravage,le caravage,le Caravage,caravage
artist,Diego Velasquez,velazques,velsquez,velasquez
artist,Camille Pissaro,pissarro,pissaro
artist,Georges Seurat,seurat,serat
artist,Théodore Géricault,gérico,géricot,géricaut,géricolt
artist,Robert Delaunay,delauné,delaunai,delaunay
artist,Albrecht Durer,dureur,durer
artist,Francis Bacon,bacon
artist,Egon Schiele,shiele,chiele,schiele
artist,Roy Lichtenstein,linchetenstein,lichtenstein
artist,Paul Signac,signaque,signac
artist,Henri de Toulouse-Lautrec,Toulouse-Lautrec,toulouse-lautrec
artist,Caspar David Friedrich,david friedrich,Friedrich
artist,Hieronymus Bosch,Bosh,Bosch,bosch
artist,Alphonse Mucha,musha,mucha
artist,Mark Rothko,rotko,rotkho
artist,Jackson Pollock,pollock,polock
artist,Franz Marc,marc
artist,Max Liebermann,liberman,liebermann,lieberman
